Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
azure-mgmt-resource,9083964,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-mgmt-core,7664025,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
google-cloud-bigtable,7219988,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-storage-queue,6873874,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-mgmt-storage,6685534,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-keyvault,6485979,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-storage-file-datalake,6316508,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-keyvault-secrets,6260854,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-mgmt-keyvault,5987645,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-mgmt-authorization,5557622,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-mgmt-containerregistry,5518525,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-graphrbac,5178884,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-cosmos,4588019,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
